Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
BTCUSDT,50284.99,2024-02-12,22,36,21
ETHUSDT,2676.8,2024-02-12,22,36,21
TRXUSDT,0.12517,2024-02-12,22,36,21
BTCUSDT,50353.54,2024-02-12,22,36,52
ETHUSDT,2680.79,2024-02-12,22,36,52
TRXUSDT,0.12522,2024-02-12,22,36,52
BTCUSDT,50290.55,2024-02-12,22,37,22
ETHUSDT,2678.83,2024-02-12,22,37,22
TRXUSDT,0.12514,2024-02-12,22,37,22
BTCUSDT,50258.49,2024-02-12,22,37,52
ETHUSDT,2677.16,2024-02-12,22,37,52
TRXUSDT,0.12509,2024-02-12,22,37,52
BTCUSDT,50142.86,2024-02-12,22,38,23
ETHUSDT,2672.0,2024-02-12,22,38,23
TRXUSDT,0.12506,2024-02-12,22,38,23
BTCUSDT,50097.4,2024-02-12,22,38,53
ETHUSDT,2671.7,2024-02-12,22,38,53
TRXUSDT,0.12501,2024-02-12,22,38,53
BTCUSDT,50119.57,2024-02-12,22,39,24
ETHUSDT,2671.52,2024-02-12,22,39,24
TRXUSDT,0.12505,2024-02-12,22,39,24
BTCUSDT,50122.77,2024-02-12,22,39,54
ETHUSDT,2671.9,2024-02-12,22,39,54
TRXUSDT,0.12504,2024-02-12,22,39,54
BTCUSDT,50118.28,2024-02-12,22,40,25
ETHUSDT,2671.01,2024-02-12,22,40,25
TRXUSDT,0.12512,2024-02-12,22,40,25
BTCUSDT,50115.31,2024-02-12,22,40,55
ETHUSDT,2670.44,2024-02-12,22,40,55
TRXUSDT,0.12509,2024-02-12,22,40,55
BTCUSDT,50046.38,2024-02-12,22,41,26
ETHUSDT,2667.0,2024-02-12,22,41,26
TRXUSDT,0.12501,2024-02-12,22,41,26
BTCUSDT,50025.55,2024-02-12,22,41,56
ETHUSDT,2666.53,2024-02-12,22,41,56
TRXUSDT,0.12502,2024-02-12,22,41,56
BTCUSDT,50034.1,2024-02-12,22,42,27
ETHUSDT,2667.17,2024-02-12,22,42,27
TRXUSDT,0.12501,2024-02-12,22,42,27
BTCUSDT,50049.99,2024-02-12,22,42,57
ETHUSDT,2669.15,2024-02-12,22,42,57
TRXUSDT,0.12501,2024-02-12,22,42,57
BTCUSDT,50035.36,2024-02-12,22,43,28
ETHUSDT,2668.62,2024-02-12,22,43,28
TRXUSDT,0.125,2024-02-12,22,43,28
